Page,Status,Type,Document,LLM Document,Time (s),Data
50,Completed,digital,Application Form,Loan Agreement (90%),3.17,-
51,Completed,digital,Aadhaar,Aadhaar (95%),2.56,"{""applicant_name"": ""AADHAAR"", ""address"": ""गारंटर का पता COMMUNICATION ADDRESS संचार""}"
52,Completed,digital,Aadhaar,Aadhaar (95%),2.46,"{""applicant_name"": ""AADHAAR"", ""address"": ""संद0: पते का 4ववरण REFERENCE NAME संद0: नाम ADDRESS""}"
53,Completed,digital,Unknown,Facility Agreement (95%),3.25,-
54,Completed,digital,Aadhaar,Sanction Letter (85%),3.79,"{""applicant_name"": ""regulations.""}"
55,Completed,digital,Sanction Letter,Sanction Letter (100%),2.73,"{""roi"": 100.0, ""applicant_name"": ""Peeru Lal""}"
56,Completed,digital,Sanction Letter,Sanction Letter (100%),2.89,-
57,Completed,digital,Sanction Letter,Loan Agreement (70%),2.76,"{""roi"": 29.82}"
58,Completed,digital,Sanction Letter,Sanction Letter (90%),3.03,"{""roi"": 1.0}"
59,Completed,digital,Sanction Letter,Sanction Letter (95%),3.13,"{""roi"": 3.0, ""applicant_name"": ""Lender at""}"
60,Completed,digital,Sanction Letter,Sanction Letter (95%),3.87,"{""applicant_name"": ""on prepayment of loan.""}"
61,Completed,digital,Sanction Letter,Sanction Letter (90%),3.31,"{""applicant_name"": ""charges associated with the credit facility.""}"
62,Completed,digital,Sanction Letter,Sanction Letter (100%),3.58,"{""roi"": 29.82, ""applicant_name"": ""(in Rupees)""}"
63,Completed,digital,Sanction Letter,Sanction Letter (90%),2.51,-
64,Completed,digital,Sanction Letter,Sanction Letter (95%),2.64,-
65,Completed,digital,Sanction Letter,Sanction Letter (100%),2.91,"{""applicant_name"": ""Peeru Lal""}"
66,Completed,digital,Sanction Letter,Sanction Letter (95%),2.80,"{""roi"": 50.0, ""applicant_name"": ""2426.00""}"
67,Completed,digital,Unknown,Loan Agreement (95%),3.20,-
68,Completed,digital,Unknown,Loan Agreement (95%),3.10,-
69,Completed,digital,Property Document,Facility Agreement (80%),3.74,-
70,Completed,digital,Sanction Letter,Sanction Letter (100%),2.76,"{""applicant_name"": ""by you without claiming any set-oJ, counter claim, damages etc.""}"
71,Completed,digital,Facility Agreement,Facility Agreement (95%),2.63,-
72,Completed,digital,Unknown,Facility Agreement (95%),3.06,-
73,Completed,digital,Loan Agreement,Loan Agreement (95%),3.14,"{""borrower_name"": ""interest over the period of the Facility computed in accordance with the terms of this""}"
74,Completed,digital,OTC PDD Document,Sanction Letter (95%),2.89,-
75,Completed,digital,OTC PDD Document,Facility Agreement (85%),3.26,-
76,Completed,digital,OTC PDD Document,Facility Agreement (95%),3.06,-
77,Completed,digital,Sanction Letter,Loan Agreement (85%),2.80,"{""applicant_name"": ""payment of EMIs/PEMIs, principal amount, any sum due and/or any breach of terms of""}"
78,Completed,digital,Sanction Letter,Sanction Letter (95%),3.35,"{""applicant_name"": ""Any payments""}"
79,Completed,digital,Sanction Letter,Sanction Letter (95%),2.78,"{""applicant_name"": ""installment for any reason whatsoever.""}"
80,Completed,digital,Unknown,Loan Agreement (95%),2.75,-
81,Completed,digital,Sanction Letter,Sanction Letter (100%),3.03,"{""applicant_name"": ""a. Security for Facility""}"
82,Completed,digital,Unknown,Facility Agreement (95%),3.34,-
83,Completed,digital,Loan Agreement,Loan Agreement (95%),2.59,"{""borrower_name"": ""obligation, the Lender shall be entitled to enforce the Security and interest therein in""}"
84,Completed,digital,Loan Agreement,Loan Agreement (100%),3.46,"{""borrower_name"": ""Lender.""}"
85,Completed,digital,Loan Agreement,Loan Agreement (95%),3.39,"{""borrower_name"": ""ARTICLE7: REPRESENTATIONAND WARRANTIES""}"
86,Completed,digital,OTC PDD Document,Facility Agreement (95%),2.54,-
87,Completed,digital,Unknown,Facility Agreement (95%),2.98,-
88,Completed,digital,Aadhaar,Loan Agreement (95%),2.90,"{""applicant_name"": ""ARTICLE 8: COVENANTS AND OBLIGATION OF THE BORROWER""}"
89,Completed,digital,Facility Agreement,Facility Agreement (95%),3.13,-
90,Completed,digital,Unknown,Facility Agreement (80%),3.11,-
91,Completed,digital,Unknown,Facility Agreement (85%),2.86,-
92,Completed,digital,Unknown,Facility Agreement (95%),3.81,-
93,Completed,digital,Unknown,Facility Agreement (95%),2.84,-
94,Completed,digital,Facility Agreement,Facility Agreement (95%),2.80,-
95,Completed,digital,Unknown,Facility Agreement (95%),2.74,-
96,Completed,digital,Facility Agreement,Facility Agreement (90%),2.65,-
97,Completed,digital,Unknown,Loan Agreement (90%),2.39,-
98,Completed,digital,Loan Agreement,Loan Agreement (95%),2.66,"{""borrower_name"": ""as a result of an event of default however described; or""}"
99,Completed,digital,OTC PDD Document,Facility Agreement (85%),3.26,-
100,Completed,digital,Unknown,Sanction Letter (80%),2.73,-
101,Completed,digital,Sanction Letter,Sanction Letter (95%),2.53,"{""applicant_name"": ""Lender decides that there is an event of default.""}"
102,Completed,digital,Guarantee Deed,Guarantee Deed (100%),2.69,-
103,Completed,digital,Unknown,Facility Agreement (85%),3.61,-
104,Completed,digital,Unknown,Loan Agreement (95%),3.68,-
105,Completed,digital,Unknown,Facility Agreement (85%),2.85,-
106,Completed,digital,Guarantee Deed,Guarantee Deed (95%),3.58,-
107,Completed,digital,OTC PDD Document,Facility Agreement (85%),3.12,-
108,Completed,digital,OTC PDD Document,Facility Agreement (95%),2.83,-
109,Completed,digital,OTC PDD Document,Facility Agreement (95%),2.57,-
110,Completed,digital,Income Tax Return,Loan Agreement (90%),3.16,-
111,Completed,digital,Income Tax Return,Facility Agreement (85%),3.27,-
112,Completed,digital,Loan Agreement,Loan Agreement (95%),3.14,"{""borrower_name"": ""for lawful business and shall also use the same in such manner not to oJend or violate any""}"
113,Completed,digital,Loan Agreement,Loan Agreement (100%),2.74,"{""tenure"": 60, ""emi"": ""05"", ""roi"": 26.0}"
114,Completed,digital,Unknown,Loan Agreement (95%),2.67,-
115,Completed,digital,Loan Agreement,Loan Agreement (100%),2.12,-
116,Completed,scanned,Unknown,-,6.71,"{""review_flag"": ""low_confidence_needs_review""}"
117,Completed,digital,Consent Letter,Consent Letter (100%),2.32,-
118,Completed,digital,Unknown,Sanction Letter (90%),2.68,-
119,Completed,digital,Consent Letter,Consent Letter (95%),1.65,-
120,Completed,digital,Loan Agreement,Loan Agreement (100%),3.72,-
121,Completed,digital,Loan Agreement,Loan Agreement (100%),3.28,-
122,Completed,digital,Loan Agreement,Loan Agreement (95%),3.38,-
123,Completed,digital,Loan Agreement,Loan Agreement (95%),4.14,-
124,Completed,digital,Loan Agreement,Loan Agreement (95%),3.21,-
125,Completed,digital,Loan Agreement,Loan Agreement (100%),3.33,-
126,Completed,digital,Loan Agreement,Loan Agreement (100%),3.03,-
127,Completed,digital,Loan Agreement,Loan Agreement (95%),3.62,-
128,Completed,digital,Loan Agreement,Loan Agreement (100%),3.39,-
129,Completed,digital,Loan Agreement,Loan Agreement (95%),3.58,-
130,Completed,digital,Loan Agreement,Loan Agreement (95%),3.66,-
131,Completed,digital,Loan Agreement,Loan Agreement (95%),4.09,-
132,Completed,digital,Loan Agreement,Loan Agreement (100%),3.14,-
133,Completed,digital,Loan Agreement,Loan Agreement (95%),3.38,-
134,Completed,digital,Loan Agreement,Loan Agreement (100%),3.49,-
135,Completed,digital,Loan Agreement,Loan Agreement (95%),3.13,-
136,Completed,digital,Loan Agreement,Loan Agreement (100%),4.62,-
137,Completed,digital,Loan Agreement,Loan Agreement (95%),2.94,-
138,Completed,digital,Loan Agreement,Loan Agreement (100%),3.33,-
139,Completed,digital,Loan Agreement,Loan Agreement (100%),3.46,-
140,Completed,digital,Loan Agreement,Loan Agreement (95%),3.43,-
141,Completed,digital,Loan Agreement,Loan Agreement (100%),3.80,-
142,Completed,digital,Loan Agreement,Loan Agreement (100%),3.48,-
143,Completed,digital,Loan Agreement,Loan Agreement (95%),3.75,-
144,Completed,digital,Loan Agreement,Loan Agreement (95%),3.36,-
145,Completed,digital,Loan Agreement,Loan Agreement (100%),3.50,-
146,Completed,digital,Loan Agreement,Loan Agreement (95%),3.17,-
147,Completed,digital,Loan Agreement,Loan Agreement (95%),2.71,-
148,Completed,digital,Loan Agreement,Loan Agreement (100%),3.13,-
149,Completed,digital,Loan Agreement,Loan Agreement (100%),3.47,-
150,Completed,digital,Application Form,Loan Agreement (90%),3.51,-
151,Completed,digital,Application Form,Disbursement Request (90%),3.54,-
152,Completed,digital,Application Form,Disbursement Request (95%),4.28,-
153,Completed,digital,Application Form,Disbursement Request (90%),4.38,-
154,Completed,digital,Application Form,Sanction Letter (95%),3.77,-
155,Completed,digital,Application Form,Loan Agreement (95%),3.48,-
156,Completed,digital,Application Form,Disbursement Request (95%),3.31,-
157,Completed,digital,Application Form,Loan Agreement (95%),3.47,-
158,Completed,digital,Application Form,Loan Agreement (95%),3.59,-
159,Completed,digital,Application Form,Loan Agreement (95%),3.29,-
160,Completed,digital,Application Form,Disbursement Request (90%),3.74,-
161,Completed,digital,Application Form,Loan Agreement (95%),3.74,-
162,Completed,digital,Application Form,Disbursement Request (95%),4.39,-
163,Completed,digital,Application Form,Application Form (100%),3.15,-
164,Completed,digital,Application Form,Loan Agreement (95%),4.32,-
165,Completed,digital,Application Form,Facility Agreement (90%),3.61,-
166,Completed,digital,Application Form,Disbursement Request (95%),3.83,-
167,Completed,digital,Application Form,Loan Agreement (95%),3.05,-
168,Completed,digital,Application Form,Disbursement Request (90%),3.97,-
169,Completed,digital,Application Form,Loan Agreement (95%),3.54,-
170,Completed,digital,Application Form,Facility Agreement (90%),4.17,-
171,Completed,digital,Application Form,Facility Agreement (95%),3.31,-
172,Completed,digital,Application Form,Loan Agreement (95%),2.60,-
173,Completed,digital,Application Form,Facility Agreement (70%),2.05,-
174,Completed,scanned,Unknown,Property Document (80%),12.70,-
175,Completed,scanned,Unknown,Property Document (80%),7.57,-
176,Completed,scanned,Unknown,Property Document (80%),11.87,-
177,Completed,scanned,Unknown,Sanction Letter (80%),29.47,-
178,Completed,scanned,Unknown,Property Document (80%),6.69,-
179,Completed,scanned,Unknown,Property Document (90%),22.17,-
180,Completed,scanned,Unknown,Property Document (80%),12.93,-
181,Completed,scanned,PAN,PAN Card (100%),13.31,"{""applicant_name"": ""21 PM GMT +05:30"", ""pan_number"": ""BCXPL9010K"", ""dob"": ""1994-05-18""}"
182,Completed,scanned,Unknown,Property Document (80%),33.56,-
183,Completed,scanned,Unknown,Property Document (80%),7.07,-
184,Completed,scanned,Unknown,Property Document (90%),6.93,-
185,Completed,scanned,Unknown,Property Document (80%),6.61,-
186,Completed,scanned,Unknown,Property Document (80%),12.72,-
187,Completed,scanned,Aadhaar,Aadhaar (100%),29.50,"{""aadhaar_number"": ""741718067326"", ""address"": ""家 Unlquo TcensreationsAatronty ot India Hru ，， SO：，， S/O: Kanha, moahar bastl, semt .0.326502 baasta. Sernlbakta, Sulia. Jhslawgr,..."
188,Completed,scanned,Unknown,Sanction Letter (80%),26.94,-
189,Completed,scanned,Unknown,Property Document (80%),7.59,-
190,Completed,scanned,Unknown,Property Document (80%),7.25,-
191,Completed,scanned,Unknown,Property Document (80%),7.59,-
192,Completed,scanned,Unknown,Property Document (80%),12.60,-
193,Completed,scanned,Unknown,Property Document (80%),7.55,-
194,Completed,scanned,Unknown,Bank Statement (95%),35.29,-
195,Completed,scanned,Aadhaar,Passbook (95%),72.78,"{""aadhaar_number"": ""243118001800""}"
196,Completed,digital,Aadhaar,Insurance Form (95%),2.65,-
197,Completed,digital,Unknown,Sanction Letter (90%),2.82,-
198,Completed,digital,Aadhaar,Property Document (80%),2.79,"{""applicant_name"": ""abc"", ""address"": ""xyz Risk Location address (Mandatory) abc Risk Address Pincode (Mandatory)""}"
199,Completed,scanned,Insurance Form,Insurance Form (95%),68.23,-
200,Completed,scanned,Insurance Form,Insurance Form (100%),59.44,-
201,Completed,scanned,Insurance Form,Insurance Form (100%),71.33,-
202,Completed,scanned,NACH Form,NACH Form (95%),63.81,-
203,Completed,scanned,Insurance Form,Insurance Form (80%),50.09,-
204,Completed,scanned,Unknown,Insurance Form (90%),18.77,-
205,Completed,digital,Insurance Form,Disbursement Request (70%),2.65,-
206,Completed,scanned,PAN,PAN Card (95%),15.35,"{""applicant_name"": ""司MName Radha Bai 4 fafaDate 01701/1962 ofBu CN"", ""pan_number"": ""JGZPB3257C""}"
207,Completed,scanned,Unknown,Property Document (85%),41.89,-
208,Completed,scanned,PAN,Property Document (80%),18.37,-
209,Completed,scanned,Unknown,Property Document (80%),28.02,-
210,Completed,scanned,Unknown,Property Document (90%),35.92,-
211,Completed,scanned,Unknown,Property Document (80%),23.50,-
212,Completed,scanned,Stamp Duty,Stamp Duty (80%),29.39,-
213,Completed,digital,Technical Report,Technical Report (100%),2.33,-
214,Completed,digital,Technical Report,Valuation Report (95%),2.32,-
215,Completed,digital,Technical Report,Technical Report (100%),3.08,-
216,Completed,digital,Technical Report,Technical Report (80%),1.62,-
217,Completed,digital,Technical Report,Property Document (80%),2.01,-
218,Completed,digital,Technical Report,Property Document (80%),1.64,-
219,Completed,scanned,Income Tax Return,Bank Statement (70%),28.76,-
220,Completed,scanned,Income Tax Return,Bank Statement (70%),21.10,-
221,Completed,scanned,Income Tax Return,Bank Statement (70%),11.74,-
222,Completed,scanned,Income Tax Return,Bank Statement (80%),12.44,-
223,Completed,scanned,Income Tax Return,Bank Statement (90%),11.26,-
224,Completed,scanned,Income Tax Return,Bank Statement (95%),11.42,-
225,Completed,scanned,Income Tax Return,Bank Statement (70%),7.98,-
226,Completed,scanned,Unknown,PAN Card (80%),25.72,-
227,Completed,scanned,Unknown,PAN Card (90%),13.28,-
228,Completed,scanned,Application Form,Application Form (95%),25.99,-
229,Completed,scanned,Application Form,Disbursement Request (80%),26.15,-
230,Completed,scanned,Unknown,Sanction Letter (80%),48.65,-
231,Completed,scanned,Unknown,Stamp Duty (80%),14.81,-
232,Completed,scanned,Unknown,Property Document (80%),11.39,-
233,Completed,scanned,Unknown,Property Document (80%),6.84,-
234,Completed,scanned,Unknown,Property Document (80%),6.90,-
235,Completed,scanned,Unknown,Property Document (80%),6.90,-
236,Completed,scanned,Unknown,Property Document (80%),6.76,-
237,Completed,scanned,Unknown,Property Document (80%),6.54,-
